decile_rank,rows,bads,bad_rate,avg_proba,lift_vs_base
0,3831,1410,0.36805011746280347,0.3666418346705435,3.1693848132144247
1,3830,820,0.21409921671018275,0.21029217454952642,1.8436695813062343
2,3828,545,0.14237199582027169,0.1524085383802587,1.2260059703021282
3,3832,460,0.12004175365344467,0.11563530903575057,1.033713869196918
4,3830,334,0.08720626631853785,0.09224400261342047,0.7509580977515637
5,3830,289,0.07545691906005222,0.07389023692246763,0.6497811085335388
6,3831,224,0.05847037327068651,0.05826896194782037,0.5035051050780363
7,3813,170,0.044584316810910046,0.04468323077358545,0.3839283018903524
8,3846,123,0.031981279251170044,0.033533735322447425,0.2753999413573665
9,3832,73,0.019050104384133612,0.018735052501756517,0.16404589663342395
